feature_word,diff,breakout_freq,no_breakout_freq
流泪,10.607800721691415,29.476479514415782,18.868678792724364
封面,-9.305061879412564,8.004552352048558,17.309614231461122
新歌,9.151919697953609,9.341805766312595,0.1898860683589846
打卡,7.230212327838501,10.138467374810318,2.9082550469718167
网易云,-6.8199273910615705,9.740136570561457,16.560063961623026
私信,5.31168779764008,5.671471927162367,0.35978412952228667
朋友,-5.074326420839454,5.899089529590288,10.973415950429741
音乐,-5.000709741074932,8.990895295902883,13.991605036977814
fm,-4.8962504136364915,1.1001517450682852,5.996402158704777
推荐,-4.803557546807271,2.721927162367223,7.525484709174495
call,4.300462211292344,4.590288315629742,0.2898261043373976
耳机,-4.138336421515831,0.7587253414264037,4.897061762942235
故事,-3.8450639783049745,5.899089529590288,9.744153507895263
版本,-3.8351628628285854,3.670333839150228,7.505496701978813
表白,3.767102409267641,6.145675265553869,2.3785728562862283
留名,3.637593619852368,4.836874051593323,1.1992804317409553
支持,3.586912723382662,4.1066009104704095,0.5196881870877473
捂脸,-3.4250959287856726,1.9916540212443095,5.416749950029982
生活,-3.3204925299751866,8.782245827010623,12.102738356985808
高产,3.262009031303524,3.2720030349013656,0.009994003597841295
温柔,-3.234514147353772,6.439681335356601,9.674195482710374
永远,3.034670093239958,9.730652503793626,6.695982410553668
牛逼,2.997672185762897,4.656676783004552,1.659004597241655
手机,-2.923862147051678,1.033763277693475,3.9576254247451534
快乐,2.899243003515039,9.275417298937786,6.3761742954227465
网易,-2.8518795399543277,4.713581183611533,7.56546072356586
专辑,2.721208701182932,3.8505311077389988,1.1293224065560665
孤独,-2.687073264387346,2.949544764795144,5.6366180291824906
翻译,-2.67636459095711,2.750379362670713,5.426743953627823
兄弟,-2.6109922058904265,1.906297420333839,4.517289626224266
同城,-2.5544896885844213,0.4836874051593323,3.0381770937437538
听歌,-2.412236269770763,2.484825493171472,4.897061762942235
女孩,-2.314950180119546,3.091805766312595,5.406755946432141
钟情,2.2358758493007382,6.7431714719271625,4.507295622626424
合作,2.2341602625678005,2.314112291350531,0.07995202878273036
热搜,2.0575325517891088,2.06752655538695,0.009994003597841295
声音,2.029923927282476,20.238998482549317,18.20907455526684
开口,-1.9803538969182977,2.8167678300455234,4.797121726963821
宝藏,-1.869090988502498,2.04855842185129,3.9176494103537878
女生,-1.8491996607801633,0.7492412746585736,2.5984409354387368
女朋友,-1.7437545818487665,1.2044764795144156,2.9482310613631824
世界,-1.7130882320380154,8.44081942336874,10.153907655406755
开头,-1.6737965566638775,1.2044764795144156,2.8782730361782933
收藏,-1.670122736676659,0.5785280728376327,2.2486508095142916
女孩子,-1.6577837819311447,0.7207890743550835,2.3785728562862283
粉丝,1.655527927553028,2.295144157814871,0.6396162302618429
期待,1.6405350264803182,2.759863429438543,1.119328402958225
