['1353842831-1', 8, ['好听', '喜欢', '不错', '支持', '旋律', '加油', '声音', '活动', '歌曲', '音乐']]
['1354477597-1', 8, ['好听', '喜欢', '加油', '支持', '评论', '不错', '好好', '厉害', '心情', '拉拉']]
['1357985449-0', 8, ['好听', '喜欢', '加油', '乃万', '好好', '打卡', '支持', '评论', '循环', '不错']]
['1357985454-0', 8, ['好听', '喜欢', '评论', '加油', '乃万', '支持', '好好', '后知后觉', '不错', '声音']]
['1357991045-0', 8, ['喜欢', '好听', '加油', '评论', '乃万', '好好', '不错', '打卡', '拉拉', '支持']]
['33887379-0', 8, ['黄子韬', '评论', '好听', '加油', '妈妈', '哈哈哈哈', '喜欢', '歌词', '音乐', '不错']]
['404182830-0', 8, ['歌词', '纯音乐', '好听', '喜欢', '开口', '评论', '前奏', '前排', '声音', '音乐']]
['409650012-0', 8, ['好听', '加油', '喜欢', '声音', '支持', '谢谢', '歌词', '安利', '推荐', '音乐']]
['412187146-0', 8, ['晚安', '好听', '喜欢', '推荐', '声音', '谢谢', '好好', 'baby', '适合', '听歌']]
['441618109-0', 8, ['好听', '喜欢', '日推', '打卡', '好好', '加油', '评论', '节奏', '耳朵', '怀孕']]
['446512502-4', 8, ['声音', '好听', '原唱', '无人', '听到', '宝藏', '喜欢', '发现', '打卡', '好好']]
['460514767-0', 8, ['嗷嗷', '好听', '前排', '喜欢', '声音', '留名', '火钳刘明', '评论', '音乐', '前奏']]
['461567913-0', 8, ['想起', '大宝', '私信', '好听', '喜欢', '声音', '歌词', '评论', '前排', '晚安']]
['466332055-0', 8, ['jjd', '前排', '留名', '好听', '音乐', '不错', '评论', '歌词', '高产', '喜欢']]
['469998923-1', 8, ['好听', '宝藏', '发现', '好好', '喜欢', '节目', '听到', '歌手', '歌曲', '评论']]
['475255006-0', 8, ['好听', '前排', '喜欢', '评论', '私信', '声音', '厉害', '歌词', '女神', '留名']]
['482988471-2', 8, ['好听', '比伯', '喜欢', '表白', '封面', '听歌', '好好', '声音', '期待', '音乐']]
['492092383-1', 8, ['好听', '喜欢', '推荐', '晚安', '熊熊', '声音', '谢谢', '好好', '发现', '听歌']]
['497420020-1', 8, ['日推', '喜欢', '好听', '二十', '支持', '不错', '打卡', '声音', '推荐', '好好']]
['500534528-0', 8, ['喜欢', '好听', '后知后觉', '好好', '耳朵', '加油', '打卡', '不知不觉', '不错', '笔芯']]
['515143305-3', 8, ['喜欢', '声音', '好听', '加油', '本兮', '谢谢', '评论', '听到', '找到', '想起']]
['515647295-0', 8, ['空集', '好听', 'call', '前排', '歌词', '打电话', '疯狂', '喜欢', '留名', '声音']]
['518194538-0', 8, ['喜欢', '好听', '评论', '日推', '加油', '好好', '不错', '不知不觉', '厉害', '耳朵']]
['520274085-0', 8, ['好听', '喜欢', '纠结', '不错', '声音', '庆庆', '支持', '加油', '单曲循环', '好好']]
['520458306-1', 8, ['好听', '喜欢', '不错', '江燕', '声音', '加油', '支持', '江小', '单曲循环', '厉害']]
['522511331-0', 8, ['好听', '世界', '喜欢', '不错', '加油', '单曲循环', '支持', '声音', '江燕', '厉害']]
['523250289-0', 8, ['好听', '喜欢', '不错', '江燕', '加油', '声音', '单曲循环', '江小', '厉害', '支持']]
['524048054-0', 8, ['好听', '加油', '喜欢', '不错', '日推', '耳朵', '评论', '怀孕', '声音', '助攻']]
['525964142-0', 8, ['好听', '喜欢', 'cool', '牛奶', '开口', '评论', '打卡', '声音', '加油', '前奏']]
['528272229-0', 8, ['好听', '喜欢', '中毒', '不错', '声音', '故事', '单曲循环', '好好', '加油', '听到']]
['530353222-0', 8, ['喜欢', '好听', '加油', '日推', '不错', '好好', '评论', '打卡', '后知后觉', '耳朵']]
